# [No.1] construct_wrapper.112
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(62)/
funcgraph fg_112(
        %para1 : Tensor(F64)[4, 128]    # q
        , %para513 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.3.intermediate.dense.weight
        , %para514 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.3.intermediate.dense.bias
        , %para515 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.3.output.dense.weight
        , %para516 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.output.dense.bias
        , %para517 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.output.layer_norm.gamma
        , %para518 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.output.layer_norm.beta
        , %para519 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.4.attention.self_attn.query.weight
        , %para520 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.attention.self_attn.query.bias
        , %para521 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.4.attention.self_attn.key.weight
        , %para522 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.attention.self_attn.key.bias
        , %para523 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.4.attention.self_attn.value.weight
        , %para524 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.attention.self_attn.value.bias
        , %para525 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.4.attention.output.dense.weight
        , %para526 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.attention.output.dense.bias
        , %para527 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.attention.output.layer_norm.gamma
        , %para528 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.attention.output.layer_norm.beta
        , %para529 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.4.intermediate.dense.weight
        , %para530 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.4.intermediate.dense.bias
        , %para531 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.4.output.dense.weight
        , %para532 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.output.dense.bias
        , %para533 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.output.layer_norm.gamma
        , %para534 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.4.output.layer_norm.beta
        , %para535 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.5.attention.self_attn.query.weight
        , %para536 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.attention.self_attn.query.bias
        , %para537 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.5.attention.self_attn.key.weight
        , %para538 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.attention.self_attn.key.bias
        , %para539 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.5.attention.self_attn.value.weight
        , %para540 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.attention.self_attn.value.bias
        , %para541 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.5.attention.output.dense.weight
        , %para542 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.attention.output.dense.bias
        , %para543 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.attention.output.layer_norm.gamma
        , %para544 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.attention.output.layer_norm.beta
        , %para545 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.5.intermediate.dense.weight
        , %para546 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.5.intermediate.dense.bias
        , %para547 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.5.output.dense.weight
        , %para548 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.output.dense.bias
        , %para549 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.output.layer_norm.gamma
        , %para550 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.5.output.layer_norm.beta
        , %para551 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.6.attention.self_attn.query.weight
        , %para552 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.attention.self_attn.query.bias
        , %para553 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.6.attention.self_attn.key.weight
        , %para554 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.attention.self_attn.key.bias
        , %para555 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.6.attention.self_attn.value.weight
        , %para556 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.attention.self_attn.value.bias
        , %para557 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.6.attention.output.dense.weight
        , %para558 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.attention.output.dense.bias
        , %para559 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.attention.output.layer_norm.gamma
        , %para560 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.attention.output.layer_norm.beta
        , %para561 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.6.intermediate.dense.weight
        , %para562 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.6.intermediate.dense.bias
        , %para563 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.6.output.dense.weight
        , %para564 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.output.dense.bias
        , %para565 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.output.layer_norm.gamma
        , %para566 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.6.output.layer_norm.beta
        , %para567 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.7.attention.self_attn.query.weight
        , %para568 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.attention.self_attn.query.bias
        , %para569 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.7.attention.self_attn.key.weight
        , %para570 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.attention.self_attn.key.bias
        , %para571 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.7.attention.self_attn.value.weight
        , %para572 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.attention.self_attn.value.bias
        , %para573 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.7.attention.output.dense.weight
        , %para574 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.attention.output.dense.bias
        , %para575 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.attention.output.layer_norm.gamma
        , %para576 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.attention.output.layer_norm.beta
        , %para577 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.7.intermediate.dense.weight
        , %para578 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.7.intermediate.dense.bias
        , %para579 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.7.output.dense.weight
        , %para580 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.output.dense.bias
        , %para581 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.output.layer_norm.gamma
        , %para582 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.7.output.layer_norm.beta
        , %para583 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.8.attention.self_attn.query.weight
        , %para584 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.attention.self_attn.query.bias
        , %para585 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.8.attention.self_attn.key.weight
        , %para586 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.attention.self_attn.key.bias
        , %para587 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.8.attention.self_attn.value.weight
        , %para588 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.attention.self_attn.value.bias
        , %para589 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.8.attention.output.dense.weight
        , %para590 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.attention.output.dense.bias
        , %para591 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.attention.output.layer_norm.gamma
        , %para592 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.attention.output.layer_norm.beta
        , %para593 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.8.intermediate.dense.weight
        , %para594 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.8.intermediate.dense.bias
        , %para595 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.8.output.dense.weight
        , %para596 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.output.dense.bias
        , %para597 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.output.layer_norm.gamma
        , %para598 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.8.output.layer_norm.beta
        , %para599 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.9.attention.self_attn.query.weight
        , %para600 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.attention.self_attn.query.bias
        , %para601 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.9.attention.self_attn.key.weight
        , %para602 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.attention.self_attn.key.bias
        , %para603 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.9.attention.self_attn.value.weight
        , %para604 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.attention.self_attn.value.bias
        , %para605 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.9.attention.output.dense.weight
        , %para606 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.attention.output.dense.bias
        , %para607 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.attention.output.layer_norm.gamma
        , %para608 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.attention.output.layer_norm.beta
        , %para609 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.9.intermediate.dense.weight
        , %para610 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.9.intermediate.dense.bias
        , %para611 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.9.output.dense.weight
        , %para612 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.output.dense.bias
        , %para613 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.output.layer_norm.gamma
        , %para614 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.9.output.layer_norm.beta
        , %para615 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.10.attention.self_attn.query.weight
        , %para616 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.attention.self_attn.query.bias
        , %para617 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.10.attention.self_attn.key.weight
        , %para618 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.attention.self_attn.key.bias
        , %para619 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.10.attention.self_attn.value.weight
        , %para620 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.attention.self_attn.value.bias
        , %para621 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.10.attention.output.dense.weight
        , %para622 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.attention.output.dense.bias
        , %para623 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.attention.output.layer_norm.gamma
        , %para624 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.attention.output.layer_norm.beta
        , %para625 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.10.intermediate.dense.weight
        , %para626 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.10.intermediate.dense.bias
        , %para627 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.10.output.dense.weight
        , %para628 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.output.dense.bias
        , %para629 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.output.layer_norm.gamma
        , %para630 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.10.output.layer_norm.beta
        , %para631 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.11.attention.self_attn.query.weight
        , %para632 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.attention.self_attn.query.bias
        , %para633 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.11.attention.self_attn.key.weight
        , %para634 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.attention.self_attn.key.bias
        , %para635 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.11.attention.self_attn.value.weight
        , %para636 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.attention.self_attn.value.bias
        , %para637 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.11.attention.output.dense.weight
        , %para638 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.attention.output.dense.bias
        , %para639 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.attention.output.layer_norm.gamma
        , %para640 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.attention.output.layer_norm.beta
        , %para641 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.11.intermediate.dense.weight
        , %para642 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.11.intermediate.dense.bias
        , %para643 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.11.output.dense.weight
        , %para644 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.output.dense.bias
        , %para645 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.output.layer_norm.gamma
        , %para646 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.11.output.layer_norm.beta
        , %para647 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.pooler.dense.weight
        , %para648 : Ref[Tensor(F32)][768]    # moment2.ques_channel.pooler.dense.bias
        , %para649 : Ref[Tensor(F32)][512, 768]    # moment2.san.0.ff_image.weight
        , %para650 : Ref[Tensor(F32)][512]    # moment2.san.0.ff_image.bias
        , %para651 : Ref[Tensor(F32)][512, 768]    # moment2.san.0.ff_ques.weight
        , %para652 : Ref[Tensor(F32)][512]    # moment2.san.0.ff_ques.bias
        , %para653 : Ref[Tensor(F32)][1, 512]    # moment2.san.0.ff_attention.weight
        , %para654 : Ref[Tensor(F32)][1]    # moment2.san.0.ff_attention.bias
        , %para655 : Ref[Tensor(F32)][17625, 768]    # moment2.mlp.1.weight
        , %para656 : Ref[Tensor(F32)][17625]    # moment2.mlp.1.bias
        , %para657 : Ref[Tensor(F32)][]    # learning_rate
    ) {

#------------------------> 0
    %1 = FuncGraph::fg_113(%para1, %para2, %para3)    #(Tensor(F64)[4, 128], Tensor(F64)[4, 17625], Tensor(F64)[4, 3, 224, 224])    # fg_113=construct.113 #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(66)/#[CNode]117
    Primitive::Return{prim_type=1}(%1)    #(Undefined) #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(66)/#[CNode]118
}
# order:
#   1: construct_wrapper.112:[CNode]117{[0]: ValueNode<FuncGraph> construct.113, [1]: q, [2]: a, [3]: img}
#   2: construct_wrapper.112:[CNode]118{[0]: ValueNode<Primitive> Return, [1]: [CNode]117}


# [No.2] construct.113
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(62)/
funcgraph fg_113[fg_112](
        %para658 : Tensor(F64)[4, 128]    # q
        , %para659 : Tensor(F64)[4, 17625]    # a
        , %para660 : Tensor(F64)[4, 3, 224, 224]    # img
    ) {

#------------------------> 1
    %1 = FuncGraph::fg_114(%para658, %para659, %para660)    #(Tensor(F64)[4, 128], Tensor(F64)[4, 17625], Tensor(F64)[4, 3, 224, 224])    # fg_114=construct.114 #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(63)/#loss
    %2 = FuncGraph::fg_119(%para658, %para660)    #(Tensor(F64)[4, 128], Tensor(F64)[4, 3, 224, 224])    # fg_119=construct.119 #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(64)/#out
    %3 = FuncGraph::fg_120(%2, %para659)    #(Undefined, Tensor(F64)[4, 17625])    # fg_120=batch_accuracy.120 #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(65)/#accuracy
    %4 = DoSignaturePrimitive::S-Prim-MakeTuple{prim_type=1}(%1, %3)    #(Undefined, Undefined) #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(66)/#[CNode]121
    Primitive::Return{prim_type=1}(%4)    #(Undefined) #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(66)/#[CNode]122
}
# order:
#   1: construct.113:loss{[0]: ValueNode<FuncGraph> construct.114, [1]: q, [2]: a, [3]: img}
#   2: construct.113:out{[0]: ValueNode<FuncGraph> construct.119, [1]: q, [2]: img}
#   3: construct.113:accuracy{[0]: ValueNode<FuncGraph> batch_accuracy.120, [1]: out, [2]: a}
#   4: construct.113:[CNode]121{[0]: ValueNode<DoSignaturePrimitive> S-Prim-MakeTuple, [1]: loss, [2]: accuracy}
#   5: construct.113:[CNode]122{[0]: ValueNode<Primitive> Return, [1]: [CNode]121}


# [No.3] construct.114
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(40)/
funcgraph fg_114[fg_112](
        %para661 : Tensor(F64)[4, 128]    # q
        , %para662 : Tensor(F64)[4, 17625]    # a
        , %para663 : Tensor(F64)[4, 3, 224, 224]    # img
    ) {

#------------------------> 2
    %1 = FuncGraph::fg_115(%para661, %para662, %para663)    #(Tensor(F64)[4, 128], Tensor(F64)[4, 17625], Tensor(F64)[4, 3, 224, 224])    # fg_115=construct.115 #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(42)/#loss
    %2 = ClassType() #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(43)/#[CNode]123
    %3 = ClassType() #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(43)/#[CNode]124
    %4 = %3(%1)    #(Undefined) #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(43)/#[CNode]125
    %5 = ClassType() #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(43)/#[CNode]126
    %6 = %5(%1)    #(Undefined) #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(43)/#[CNode]127
    %7 = %2(%4, %6, F32(1))    #(Undefined, Undefined, Undefined) #scope: Default/loss_train_net-TrainOneStepCell
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(43)/#sens
    %8 = UnpackGraphPrimitive::UnpackGraph{prim_type=1}(FuncGraph::fg_115, %para661, %para662, %para663, %7)    #(Undefined, Tensor(F64)[4, 128], Tensor(F64)[4, 17625], Tensor(F64)[4, 3, 224, 224], Undefined)    # fg_115=construct.115 #scope: Default
      # In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(44)/#grads
